sentence,sentiment,tokenized_text,emoji to text,emoji to text + stopwords
nơi có thiết bị đầu cuối tự phục vụ. các nhân viên biết cách nói tiếng anh và bạn có thể yêu cầu thực đơn được viết bằng tiếng anh.,positive,nơi có thiết_bị_đầu_cuối tự_phục_vụ . các nhân_viên biết cách nói tiếng anh và bạn có_thể yêu_cầu thực_đơn được viết bằng tiếng anh .,nơi có thiết_bị_đầu_cuối tự_phục_vụ . các nhân_viên biết cách nói tiếng anh và bạn có_thể yêu_cầu thực_đơn được viết bằng tiếng anh .,thiết_bị_đầu_cuối tự_phục_vụ nhân_viên tiếng có_thể yêu_cầu thực_đơn viết tiếng
nv xinhh,positive,nv xinhh,nv xinhh,nv xinhh
yêu nó,positive,yêu nó,yêu nó,yêu
quá giá và béo ngậy.,neutral,quá giá và béo ngậy .,quá giá và béo ngậy .,giá béo ngậy
chỉ là mcdonald xung quanh seoho,neutral,chỉ là mcdonald xung_quanh seoho,chỉ là mcdonald xung_quanh seoho,mcdonald xung_quanh seoho
"những tối mở phố đi bộ, ở đây lúc nào cũng chật kín.",positive,"những tối mở phố đi bộ , ở đây lúc_nào cũng chật kín .","những tối mở phố đi bộ , ở đây lúc_nào cũng chật kín .",tối phố lúc_nào chật kín
"vị trí đẹp, đồ ăn bình thường",neutral,"vị_trí đẹp , đồ_ăn bình_thường","vị_trí đẹp , đồ_ăn bình_thường",vị_trí đẹp đồ_ăn bình_thường
rất tốt cho việc ăn uống nhanh trẻ em thì hay muốn đến xuất ăn trẻ em rất rẻ,positive,rất tốt cho việc ăn_uống nhanh trẻ_em thì hay muốn đến xuất ăn trẻ_em rất rẻ,rất tốt cho việc ăn_uống nhanh trẻ_em thì hay muốn đến xuất ăn trẻ_em rất rẻ,ăn_uống trẻ_em xuất trẻ_em rẻ
đồ ăn ngon. giá hợp lý. nhân viên thân thiện.,positive,đồ_ăn ngon . giá hợp_lý . nhân_viên thân_thiện .,đồ_ăn ngon . giá hợp_lý . nhân_viên thân_thiện .,đồ_ăn ngon giá hợp_lý nhân_viên thân_thiện
thức ăn rất tuyệt ..,positive,thức_ăn rất tuyệt ..,thức_ăn rất tuyệt ..,thức_ăn tuyệt ..
nó không có gì khác với mcdonald ở nhật bản. có cà phê việt nam không,neutral,nó không có gì khác với mcdonald ở nhật_bản . có cà_phê việt_nam không,nó không có gì khác với mcdonald ở nhật_bản . có cà_phê việt_nam không,mcdonald nhật_bản cà_phê việt_nam
"mcdonalds việt nam cam kết áp dụng tiêu chuẩn của mcdonalds toàn cầu, đó là quality chất lượng, service dịch vụ, cleanliness vệ sinh values giá trị. high quality food thực phẩm chất lượng superior service phục vụ chuyên nghiệp clean and welcoming environment môi trường sạch sẽ và thân thiện great value for money giá cả hợp lý đã trải nghiệm tại quán và điểm trừ duy nhất là xếp hàng lâu quá 😁",positive,"mcdonalds việt_nam cam_kết áp_dụng tiêu_chuẩn của mcdonalds toàn_cầu , đó là quality chất_lượng , service dịch_vụ , cleanliness vệ_sinh values giá_trị . high quality food thực_phẩm chất_lượng superior service phục_vụ chuyên_nghiệp clean and welcoming environment môi_trường sạch_sẽ và thân_thiện great value for money giá_cả hợp_lý đã trải_nghiệm tại quán và điểm trừ duy_nhất là xếp_hàng lâu quá 😁","mcdonalds việt_nam cam_kết áp_dụng tiêu_chuẩn của mcdonalds toàn_cầu , đó là quality chất_lượng , service dịch_vụ , cleanliness vệ_sinh values giá_trị . high quality food thực_phẩm chất_lượng superior service phục_vụ chuyên_nghiệp clean and welcoming environment môi_trường sạch_sẽ và thân_thiện great value for money giá_cả hợp_lý đã trải_nghiệm tại quán và điểm trừ duy_nhất là xếp_hàng lâu quá :khuôn mặt rạng rỡ với đôi mắt cười:",mcdonalds việt_nam cam_kết áp_dụng tiêu_chuẩn mcdonalds toàn_cầu quality chất_lượng service dịch_vụ cleanliness vệ_sinh values giá_trị high quality food thực_phẩm chất_lượng superior service phục_vụ chuyên_nghiệp clean and welcoming environment môi_trường sạch_sẽ thân_thiện great value for money giá_cả hợp_lý trải_nghiệm quán trừ duy_nhất xếp_hàng :khuôn mặt rạng rỡ đôi mắt cười:
"vì vậy, chậm cho một mcdonalds.",negative,"vì_vậy , chậm cho một mcdonalds .","vì_vậy , chậm cho một mcdonalds .",vì_vậy chậm mcdonalds
"có lẽ là mcdonald chậm nhất mà tôi từng đến. mất 15 phút cho một chiếc bánh táo tôi không nói rằng nó sẽ mất nhiều thời gian như vậy. những người khác đang chờ đợi tối đa 20 phút cho thực phẩm tiêu chuẩn khác. nếu không, đó chỉ là một mcdonald thực sự.",neutral,"có_lẽ là mcdonald chậm nhất mà tôi từng đến . mất 15 phút cho một chiếc bánh táo tôi không nói rằng nó sẽ mất nhiều thời_gian như_vậy . những người khác đang chờ_đợi tối_đa 20 phút cho thực_phẩm tiêu_chuẩn khác . nếu không , đó chỉ là một mcdonald thực_sự .","có_lẽ là mcdonald chậm nhất mà tôi từng đến . mất 15 phút cho một chiếc bánh táo tôi không nói rằng nó sẽ mất nhiều thời_gian như_vậy . những người khác đang chờ_đợi tối_đa 20 phút cho thực_phẩm tiêu_chuẩn khác . nếu không , đó chỉ là một mcdonald thực_sự .",có_lẽ mcdonald chậm 15 phút bánh táo thời_gian như_vậy chờ_đợi tối_đa 20 phút thực_phẩm tiêu_chuẩn mcdonald
"quá đông khách, không đủ chỗ ngồi, chỗ rửa tay rất bẩn",neutral,"quá đông khách , không đủ chỗ ngồi , chỗ rửa tay rất bẩn","quá đông khách , không đủ chỗ ngồi , chỗ rửa tay rất bẩn",đông chỗ chỗ rửa bẩn
công cụ thông thường,positive,công_cụ thông_thường,công_cụ thông_thường,công_cụ thông_thường
địa điểm đông đúc nhiều người nước ngoài,positive,địa_điểm đông_đúc nhiều người nước_ngoài,địa_điểm đông_đúc nhiều người nước_ngoài,địa_điểm đông_đúc nước_ngoài
đơn đặt hàng có thể được thực hiện bằng cách sử dụng bảng điều khiển đã cài đặt. khá thuận tiện,positive,đơn đặt_hàng có_thể được thực_hiện bằng cách sử_dụng bảng điều_khiển đã cài_đặt . khá thuận_tiện,đơn đặt_hàng có_thể được thực_hiện bằng cách sử_dụng bảng điều_khiển đã cài_đặt . khá thuận_tiện,đơn đặt_hàng có_thể thực_hiện sử_dụng bảng điều_khiển cài_đặt thuận_tiện
gà ngon,positive,gà ngon,gà ngon,gà ngon
"mcdonald thông thường. không có gì đặc biệt. tại nhà ga cảm giác, lệnh được giúp đỡ bởi một nhân viên trong hội trường, người đã nói bằng tiếng nga. giá cả tốt, ở nga dường như rẻ hơn. 2 khoai tây, 2 cheesburgers nhỏ, 2 mã dường như có vẻ 230 nghìn đồng. nó có vị khá ngon. vòi là miễn phí.",positive,"mcdonald thông_thường . không có gì đặc_biệt . tại nhà_ga cảm_giác , lệnh được giúp_đỡ bởi một nhân_viên trong hội_trường , người đã nói bằng tiếng nga . giá_cả tốt , ở nga dường_như rẻ hơn . 2 khoai_tây , 2 cheesburgers nhỏ , 2 mã dường_như có_vẻ 230 nghìn đồng . nó có vị khá ngon . vòi là miễn_phí .","mcdonald thông_thường . không có gì đặc_biệt . tại nhà_ga cảm_giác , lệnh được giúp_đỡ bởi một nhân_viên trong hội_trường , người đã nói bằng tiếng nga . giá_cả tốt , ở nga dường_như rẻ hơn . 2 khoai_tây , 2 cheesburgers nhỏ , 2 mã dường_như có_vẻ 230 nghìn đồng . nó có vị khá ngon . vòi là miễn_phí .",mcdonald thông_thường đặc_biệt nhà_ga lệnh giúp_đỡ nhân_viên hội_trường tiếng nga giá_cả nga dường_như rẻ 2 khoai_tây 2 cheesburgers 2 mã dường_như có_vẻ 230 nghìn đồng vị ngon vòi miễn_phí
"buổi sáng chưa có bigmac nên gọi tạm set nhẹ. không rõ có vẫn cùng một nguồn nhập khẩu không mà mình cảm giác như ăn vị cà chua nội địa. điểm cộng vị trí thuận tiện khá mới, sạch sẽ có booth order tự động phục vụ nhanh điểm trừ maccafe chất lượng dở xuyên suốt bánh táo vị không giống đồ ăn cho người vị trí cạnh bốt công an không thân thiện với người vn",positive,"buổi sáng chưa có bigmac nên gọi tạm set nhẹ . không rõ có vẫn cùng một nguồn nhập_khẩu không mà mình cảm_giác như ăn vị cà_chua nội_địa . điểm cộng vị_trí thuận_tiện khá mới , sạch_sẽ có booth order tự_động phục_vụ nhanh điểm trừ maccafe chất_lượng dở xuyên suốt bánh táo vị không giống đồ_ăn cho người vị_trí cạnh bốt công_an không thân_thiện với người vn","buổi sáng chưa có bigmac nên gọi tạm set nhẹ . không rõ có vẫn cùng một nguồn nhập_khẩu không mà mình cảm_giác như ăn vị cà_chua nội_địa . điểm cộng vị_trí thuận_tiện khá mới , sạch_sẽ có booth order tự_động phục_vụ nhanh điểm trừ maccafe chất_lượng dở xuyên suốt bánh táo vị không giống đồ_ăn cho người vị_trí cạnh bốt công_an không thân_thiện với người vn",bigmac gọi tạm set nhẹ nhập_khẩu vị cà_chua nội_địa cộng vị_trí thuận_tiện sạch_sẽ booth order tự_động phục_vụ trừ maccafe chất_lượng dở xuyên suốt bánh táo vị đồ_ăn vị_trí cạnh bốt công_an thân_thiện vn
"mcdonald là mcdonalds. nhân viên rất dễ chịu. rõ ràng, rõ ràng, trong một xổ số lân cận, tôi nhớ nửa giờ, chiếc burger đang chờ đợi và không có trung đoàn. tôi cởi bỏ điểm số cho cuộn trong big mack cutlet vẫn ổn, nhưng cuộn bị mắc kẹt trong hộp, trong khi tôi đến nhà và không phải là rất. thịt có gạo có rất ít thịt, nhưng, tuy nhiên, điều này tốt hơn và về giá gần như tương tự, nhưng thậm chí tệ hơn, những món ăn như vậy trong minimarkets.",positive,"mcdonald là mcdonalds . nhân_viên rất dễ_chịu . rõ_ràng , rõ_ràng , trong một xổ_số lân_cận , tôi nhớ nửa giờ , chiếc burger đang chờ_đợi và không có trung_đoàn . tôi cởi bỏ điểm_số cho cuộn trong big mack cutlet vẫn ổn , nhưng cuộn bị mắc_kẹt trong hộp , trong khi tôi đến nhà và không phải là rất . thịt có gạo có rất ít thịt , nhưng , tuy_nhiên , điều này tốt hơn và về giá gần như tương_tự , nhưng thậm_chí tệ hơn , những món ăn như_vậy trong minimarkets .","mcdonald là mcdonalds . nhân_viên rất dễ_chịu . rõ_ràng , rõ_ràng , trong một xổ_số lân_cận , tôi nhớ nửa giờ , chiếc burger đang chờ_đợi và không có trung_đoàn . tôi cởi bỏ điểm_số cho cuộn trong big mack cutlet vẫn ổn , nhưng cuộn bị mắc_kẹt trong hộp , trong khi tôi đến nhà và không phải là rất . thịt có gạo có rất ít thịt , nhưng , tuy_nhiên , điều này tốt hơn và về giá gần như tương_tự , nhưng thậm_chí tệ hơn , những món ăn như_vậy trong minimarkets .",mcdonald mcdonalds nhân_viên dễ_chịu xổ_số lân_cận nửa burger chờ_đợi trung_đoàn cởi điểm_số cuộn big mack cutlet ổn cuộn mắc_kẹt hộp thịt gạo thịt tuy_nhiên giá tương_tự thậm_chí tệ món như_vậy minimarkets
"tôi không phải là một fan hâm mộ của thức ăn nhanh, đặc biệt là không phải là một thương hiệu mà tôi có ở đất nước của tôi. tuy nhiên, vì thời tiết xấu, chúng tôi chỉ có điều đó để về nhà nhanh chóng. các thị hiếu khác nhau của phápanhhàn quốc nhưng rất đáng ngạc nhiên đối với mcdonald. dịch vụ chỉ chậm một chút nhưng có rất nhiều người. tôi nghĩ rằng một số khách du lịch tự lấy các vị vua với những lời chỉ trích về những người định cư điển hình, vì họ đã tức giận mà không có lý do sau khi xác nhận một đơn đặt hàng hai phút trước đó. tôi hài lòng với nơi này. gà rán rất ngon đã ghé thăm vào tháng 9",neutral,"tôi không phải là một fan hâm_mộ của thức_ăn nhanh , đặc_biệt là không phải là một thương_hiệu mà tôi có ở đất_nước của tôi . tuy_nhiên , vì thời_tiết xấu , chúng_tôi chỉ có_điều đó để về nhà nhanh_chóng . các thị_hiếu khác nhau của phápanhhàn quốc nhưng rất đáng ngạc_nhiên đối_với mcdonald . dịch_vụ chỉ chậm một_chút nhưng có rất nhiều người . tôi nghĩ rằng một_số khách du_lịch tự lấy các vị vua với những lời chỉ_trích về những người định_cư điển_hình , vì họ đã tức_giận mà không có lý_do sau khi xác_nhận một đơn đặt_hàng hai phút trước đó . tôi hài_lòng với nơi này . gà rán rất ngon đã ghé thăm vào tháng 9","tôi không phải là một fan hâm_mộ của thức_ăn nhanh , đặc_biệt là không phải là một thương_hiệu mà tôi có ở đất_nước của tôi . tuy_nhiên , vì thời_tiết xấu , chúng_tôi chỉ có_điều đó để về nhà nhanh_chóng . các thị_hiếu khác nhau của phápanhhàn quốc nhưng rất đáng ngạc_nhiên đối_với mcdonald . dịch_vụ chỉ chậm một_chút nhưng có rất nhiều người . tôi nghĩ rằng một_số khách du_lịch tự lấy các vị vua với những lời chỉ_trích về những người định_cư điển_hình , vì họ đã tức_giận mà không có lý_do sau khi xác_nhận một đơn đặt_hàng hai phút trước đó . tôi hài_lòng với nơi này . gà rán rất ngon đã ghé thăm vào tháng 9",fan hâm_mộ thức_ăn đặc_biệt thương_hiệu đất_nước tuy_nhiên thời_tiết xấu chúng_tôi có_điều nhanh_chóng thị_hiếu phápanhhàn quốc ngạc_nhiên đối_với mcdonald dịch_vụ chậm một_chút một_số du_lịch vị vua chỉ_trích định_cư điển_hình tức_giận lý_do xác_nhận đơn đặt_hàng hai phút hài_lòng gà rán ngon ghé thăm 9
"đồ ăn và uống ok. phục vụ chu đáo. không gian thoải mái, trong phòng kín. không phù hợp cho trẻ nhỏ chạy nhảy. có bàn to cho nhóm và bàn nhỏ cho cặp đôi. ok, thanks",positive,"đồ_ăn và uống ok . phục_vụ chu_đáo . không_gian thoải_mái , trong phòng kín . không phù_hợp cho trẻ nhỏ chạy_nhảy . có bàn to cho nhóm và bàn nhỏ cho cặp đôi . ok , thanks","đồ_ăn và uống ok . phục_vụ chu_đáo . không_gian thoải_mái , trong phòng kín . không phù_hợp cho trẻ nhỏ chạy_nhảy . có bàn to cho nhóm và bàn nhỏ cho cặp đôi . ok , thanks",đồ_ăn uống ok phục_vụ chu_đáo không_gian thoải_mái phòng kín phù_hợp trẻ chạy_nhảy bàn to bàn cặp đôi ok thanks
"mình order 2 miếng gà và yêu cầu không lấy cục cánh , lúc mang đồ ra bạn nv bảo gà lấy ngẫu nhiên không được chọn, và ngẫu nhiên lại đúng 2 cục cánh. quá vô lý và mất lịch sự placed an order and asked for not picking pieces with wings, a staff gave me my food and it was exactly wings , he said that they choose random and customer cant get what they want so disappointed",negative,"mình order 2 miếng gà và yêu_cầu không lấy cục cánh , lúc mang đồ ra bạn nv bảo gà lấy ngẫu_nhiên không được chọn , và ngẫu_nhiên lại đúng 2 cục cánh . quá vô_lý và mất lịch_sự placed an order and asked for not picking pieces with wings , a staff gave me my food and it was exactly wings , he said that they choose random and customer cant get what they want so disappointed","mình order 2 miếng gà và yêu_cầu không lấy cục cánh , lúc mang đồ ra bạn nv bảo gà lấy ngẫu_nhiên không được chọn , và ngẫu_nhiên lại đúng 2 cục cánh . quá vô_lý và mất lịch_sự placed an order and asked for not picking pieces with wings , a staff gave me my food and it was exactly wings , he said that they choose random and customer cant get what they want so disappointed",order 2 miếng gà yêu_cầu cục cánh đồ nv bảo gà ngẫu_nhiên ngẫu_nhiên 2 cục cánh vô_lý lịch_sự placed an order and asked for not picking pieces with wings a staff gave me my food and it was exactly wings he said that they choose random and customer cant get what they want disappointed
đó là một mcdonald thường xuyên.,neutral,đó là một mcdonald thường_xuyên .,đó là một mcdonald thường_xuyên .,mcdonald thường_xuyên
giống như tất cả các mcdonalds,neutral,giống như tất_cả các mcdonalds,giống như tất_cả các mcdonalds,tất_cả mcdonalds
luôn luôn đám đông,positive,luôn_luôn đám đông,luôn_luôn đám đông,luôn_luôn đám đông
đặt hàng khoai tây chiên. nó đã sẵn sàng trước khi con số xuất hiện trên màn hình nhưng anh chàng đã hét lên số thứ tự bằng tiếng việt nên tôi không biết. ồ tốt ...,positive,đặt_hàng khoai_tây chiên . nó đã sẵn_sàng trước khi con_số xuất_hiện trên màn_hình nhưng anh_chàng đã hét lên số thứ_tự bằng tiếng việt nên tôi không biết . ồ tốt ...,đặt_hàng khoai_tây chiên . nó đã sẵn_sàng trước khi con_số xuất_hiện trên màn_hình nhưng anh_chàng đã hét lên số thứ_tự bằng tiếng việt nên tôi không biết . ồ tốt ...,đặt_hàng khoai_tây chiên sẵn_sàng con_số xuất_hiện màn_hình anh_chàng hét thứ_tự tiếng việt ...
phong cách việt nam mcdonalds một gói khoảng 300k dong việt nam,positive,phong_cách việt_nam mcdonalds một gói khoảng 300k dong việt_nam,phong_cách việt_nam mcdonalds một gói khoảng 300k dong việt_nam,phong_cách việt_nam mcdonalds gói 300k dong việt_nam
dịch vụ tuyệt vời và nhanh chóng. ước gì họ có một chiếc burger mac thịt lợn,positive,dịch_vụ tuyệt_vời và nhanh_chóng . ước gì họ có một chiếc burger mac thịt lợn,dịch_vụ tuyệt_vời và nhanh_chóng . ước gì họ có một chiếc burger mac thịt lợn,dịch_vụ tuyệt_vời nhanh_chóng ước burger mac thịt lợn
"burger ngon, vị trí đẹp.",positive,"burger ngon , vị_trí đẹp .","burger ngon , vị_trí đẹp .",burger ngon vị_trí đẹp
đông. đăt. sang chanh phong trao,neutral,đông . đăt . sang chanh phong trao,đông . đăt . sang chanh phong trao,đông đăt chanh phong trao
tôi đã có một burger kết hợp với nước sốt teriyaki cho lễ hội tet. nó là tuyệt vời.,positive,tôi đã có một burger kết_hợp với nước sốt teriyaki cho lễ_hội tet . nó là tuyệt_vời .,tôi đã có một burger kết_hợp với nước sốt teriyaki cho lễ_hội tet . nó là tuyệt_vời .,burger kết_hợp sốt teriyaki lễ_hội tet tuyệt_vời
thái độ phục vụ của nhân viên quá tệ,negative,thái_độ phục_vụ của nhân_viên quá tệ,thái_độ phục_vụ của nhân_viên quá tệ,thái_độ phục_vụ nhân_viên tệ
ồ,negative,ồ,ồ,
đông quá nên cảm nhận khi ăn không được ngon,neutral,đông quá nên cảm_nhận khi ăn không được ngon,đông quá nên cảm_nhận khi ăn không được ngon,đông cảm_nhận ngon
"tuyệt vời, đồ ăn ngon",positive,"tuyệt_vời , đồ_ăn ngon","tuyệt_vời , đồ_ăn ngon",tuyệt_vời đồ_ăn ngon
bận. nhưng làm cho nó hoàn thành,positive,bận . nhưng làm cho nó hoàn_thành,bận . nhưng làm cho nó hoàn_thành,bận hoàn_thành
"đồ ăn rất ngon, fast serving",positive,"đồ_ăn rất ngon , fast serving","đồ_ăn rất ngon , fast serving",đồ_ăn ngon fast serving
"ăn ngon và vị trí đẹp, sát cạnh hồ gươm.",positive,"ăn ngon và vị_trí đẹp , sát cạnh hồ gươm .","ăn ngon và vị_trí đẹp , sát cạnh hồ gươm .",ngon vị_trí đẹp sát cạnh hồ gươm
không khí hơi nghèo ...,neutral,không_khí hơi nghèo ...,không_khí hơi nghèo ...,không_khí hơi nghèo ...
"đôi khi các nhân viên sẽ không cho phép bạn đi lên nếu đến muộn. nếu không, đó là dịch vụ và thực phẩm khá tốt",positive,"đôi_khi các nhân_viên sẽ không cho_phép bạn đi lên nếu đến muộn . nếu không , đó là dịch_vụ và thực_phẩm khá tốt","đôi_khi các nhân_viên sẽ không cho_phép bạn đi lên nếu đến muộn . nếu không , đó là dịch_vụ và thực_phẩm khá tốt",đôi_khi nhân_viên cho_phép muộn dịch_vụ thực_phẩm
đồ ăn được. phù hợp với trẻ em.,positive,đồ_ăn được . phù_hợp với trẻ_em .,đồ_ăn được . phù_hợp với trẻ_em .,đồ_ăn phù_hợp trẻ_em
"đồ ăn ngon,mỗi tội hơi đông",positive,"đồ_ăn ngon , mỗi_tội hơi đông","đồ_ăn ngon , mỗi_tội hơi đông",đồ_ăn ngon mỗi_tội hơi đông
dịch vụ burger được chuẩn bị tốt và chuẩn bị không thể chấp nhận được ở nhà,negative,dịch_vụ burger được chuẩn_bị tốt và chuẩn_bị không_thể chấp_nhận được ở nhà,dịch_vụ burger được chuẩn_bị tốt và chuẩn_bị không_thể chấp_nhận được ở nhà,dịch_vụ burger chuẩn_bị chuẩn_bị không_thể chấp_nhận
vị trí là tốt nhất. wifi miễn phí.,positive,vị_trí là tốt nhất . wifi miễn_phí .,vị_trí là tốt nhất . wifi miễn_phí .,vị_trí wifi miễn_phí
địa điểm đẹp,positive,địa_điểm đẹp,địa_điểm đẹp,địa_điểm đẹp
mcdonald ở việt nam ít ngon hơn đài loan và giá không rẻ hơn.,negative,mcdonald ở việt_nam ít ngon hơn đài_loan và giá không rẻ hơn .,mcdonald ở việt_nam ít ngon hơn đài_loan và giá không rẻ hơn .,mcdonald việt_nam ngon đài_loan giá rẻ
họ có 5 loại nước sốt,positive,họ có 5 loại nước sốt,họ có 5 loại nước sốt,5 sốt
dịch vụ tuyệt vời và những người tuyệt vời,positive,dịch_vụ tuyệt_vời và những người tuyệt_vời,dịch_vụ tuyệt_vời và những người tuyệt_vời,dịch_vụ tuyệt_vời tuyệt_vời
kinh dị,negative,kinh_dị,kinh_dị,kinh_dị
trứng muffin set 690 dong,positive,trứng muffin set 690 dong,trứng muffin set 690 dong,trứng muffin set 690 dong
"定的外卖 mistook bánh mì kẹp thịt, và didn đã đưa ra nuggets, f king order. họ đã lừa dối theo lệnh và đặt một cái gì đó mà họ không đặt hàng, mặc dù theo kiểm tra, nó là đúng. thêm vào đó, họ đã không đặt najets. tôi không khuyên bạn nên đặt hàng một cái gì đó từ họ",negative,"定的外卖 mistook bánh_mì kẹp thịt , và didn đã đưa ra nuggets , f king order . họ đã lừa_dối theo lệnh và đặt một cái gì đó mà họ không đặt_hàng , mặc_dù theo kiểm_tra , nó là đúng . thêm vào đó , họ đã không đặt najets . tôi không khuyên bạn nên đặt_hàng một cái gì đó từ họ","定的外卖 mistook bánh_mì kẹp thịt , và didn đã đưa ra nuggets , f king order . họ đã lừa_dối theo lệnh và đặt một cái gì đó mà họ không đặt_hàng , mặc_dù theo kiểm_tra , nó là đúng . thêm vào đó , họ đã không đặt najets . tôi không khuyên bạn nên đặt_hàng một cái gì đó từ họ",定的外卖 mistook bánh_mì kẹp thịt didn nuggets f king order lừa_dối lệnh đặt_hàng mặc_dù kiểm_tra najets khuyên đặt_hàng
"chất lượng đồ ăn và nhân viên thì ổn, nhưng cả quán có mỗi 1 nhà vệ sinh bé quá",neutral,"chất_lượng đồ_ăn và nhân_viên thì ổn , nhưng cả quán có mỗi 1 nhà_vệ_sinh bé quá","chất_lượng đồ_ăn và nhân_viên thì ổn , nhưng cả quán có mỗi 1 nhà_vệ_sinh bé quá",chất_lượng đồ_ăn nhân_viên ổn quán 1 nhà_vệ_sinh bé
nhanh,positive,nhanh,nhanh,
ngắm vui thôi,negative,ngắm vui thôi,ngắm vui thôi,ngắm vui
"thực đơn địa phương có sẵn. mayo và nước sốt có thể được khai thác trên nhà tài trợ, điều này cũng rất thực tế. chất lượng thực phẩm không may vì vậy lala. vì vậy, khoai tây chiên có vị như ấm lên từ ngày hôm trước.",neutral,"thực_đơn địa_phương có sẵn . mayo và nước sốt có_thể được khai_thác trên nhà_tài_trợ , điều này cũng rất thực_tế . chất_lượng thực_phẩm không may vì_vậy lala . vì_vậy , khoai_tây chiên có vị như ấm lên từ ngày hôm trước .","thực_đơn địa_phương có sẵn . mayo và nước sốt có_thể được khai_thác trên nhà_tài_trợ , điều này cũng rất thực_tế . chất_lượng thực_phẩm không may vì_vậy lala . vì_vậy , khoai_tây chiên có vị như ấm lên từ ngày hôm trước .",thực_đơn địa_phương sẵn mayo sốt có_thể khai_thác nhà_tài_trợ thực_tế chất_lượng thực_phẩm may vì_vậy lala vì_vậy khoai_tây chiên vị ấm hôm
văngs,positive,văngs,văngs,văngs
"nằm ở con đường bận rộn nhất trong khu phố cũ của hà nội, đối diện hồ hồ hoan. giá gần giống với quốc gia khác. dịch vụ khá tốt với nhân viên nói tiếng anh.",positive,"nằm ở con đường bận_rộn nhất trong khu_phố cũ của hà_nội , đối_diện hồ hồ hoan . giá gần giống với quốc_gia khác . dịch_vụ khá tốt với nhân_viên nói tiếng anh .","nằm ở con đường bận_rộn nhất trong khu_phố cũ của hà_nội , đối_diện hồ hồ hoan . giá gần giống với quốc_gia khác . dịch_vụ khá tốt với nhân_viên nói tiếng anh .",nằm đường bận_rộn khu_phố cũ hà_nội đối_diện hồ hồ hoan giá quốc_gia dịch_vụ nhân_viên tiếng
"đó là vào buổi sáng, vì vậy tôi chỉ bán mac sáng.",positive,"đó là vào buổi sáng , vì_vậy tôi chỉ bán mac sáng .","đó là vào buổi sáng , vì_vậy tôi chỉ bán mac sáng .",vì_vậy mac
việt nam rất tốt mcdonalds,positive,việt_nam rất tốt mcdonalds,việt_nam rất tốt mcdonalds,việt_nam mcdonalds
"có rất nhiều người và giá cả cao nếu bạn không thể tìm thấy thứ gì đó để ăn, bạn có thể đến",positive,"có rất nhiều người và giá_cả cao nếu bạn không_thể tìm thấy thứ gì đó để ăn , bạn có_thể đến","có rất nhiều người và giá_cả cao nếu bạn không_thể tìm thấy thứ gì đó để ăn , bạn có_thể đến",giá_cả không_thể có_thể
đáng yêu,positive,đáng yêu,đáng yêu,yêu
view đẹp...đồ khá ngon,positive,view đẹp ... đồ khá ngon,view đẹp ... đồ khá ngon,view đẹp ... đồ ngon
"wc bẩn kinh khủng, bad service",neutral,"wc bẩn kinh_khủng , bad service","wc bẩn kinh_khủng , bad service",wc bẩn kinh_khủng bad service
mcdonalds bên hồ,positive,mcdonalds bên hồ,mcdonalds bên hồ,mcdonalds hồ
chất lượng theo chuẩn quốc tế. khá đông khách. vị trí đẹp nhìn ra hồ gươm.,positive,chất_lượng theo chuẩn quốc_tế . khá đông khách . vị_trí đẹp nhìn ra hồ gươm .,chất_lượng theo chuẩn quốc_tế . khá đông khách . vị_trí đẹp nhìn ra hồ gươm .,chất_lượng chuẩn quốc_tế đông vị_trí đẹp hồ gươm
không gian thoải mái.,positive,không_gian thoải_mái .,không_gian thoải_mái .,không_gian thoải_mái
ghé qua thôi,positive,ghé qua thôi,ghé qua thôi,ghé
đây là một cửa hàng thực phẩm lễ hội chung,positive,đây là một cửa_hàng thực_phẩm lễ_hội chung,đây là một cửa_hàng thực_phẩm lễ_hội chung,cửa_hàng thực_phẩm lễ_hội
"những nhân viên nhận được đơn đặt hàng là tốt bụng và việc cung cấp thực phẩm rất nhanh thông thường các đơn đặt hàng và bữa ăn thường được gây ra bởi đám đông và tắc nghẽn to lớn. không có nguồn, thay đổi thực phẩm, không, v.v.",positive,"những nhân_viên nhận được đơn đặt_hàng là tốt_bụng và việc cung_cấp thực_phẩm rất nhanh thông_thường các đơn đặt_hàng và bữa ăn thường được gây ra bởi đám đông và tắc_nghẽn to_lớn . không có nguồn , thay_đổi thực_phẩm , không , v.v.","những nhân_viên nhận được đơn đặt_hàng là tốt_bụng và việc cung_cấp thực_phẩm rất nhanh thông_thường các đơn đặt_hàng và bữa ăn thường được gây ra bởi đám đông và tắc_nghẽn to_lớn . không có nguồn , thay_đổi thực_phẩm , không , v.v.",nhân_viên đơn đặt_hàng tốt_bụng cung_cấp thực_phẩm thông_thường đơn đặt_hàng đám đông tắc_nghẽn to_lớn thay_đổi thực_phẩm v.v.
