name,text,stars
tuyet phuong,Phục vụ chưa nhanh nhạy,5
Tuấn Trần Hữu,"Địa điểm đẹp, đồ ăn ngon, thái độ tốt, phong cách chuyên nghiệp, điểm trừ là khôg gian hơi bí nên mùi hỗn hợp.",4
Jako Lee,等很久,3
HDO Food,Quá đông...,4
Hoài Sơn Nguyễn,Ngon,5
Việt Đỗ,Chu đáo,5
Thái Nguyễn,"Có món cho buổi sáng, bánh hơi dai với cứng",3
Thắng Nguyễn Toàn,Good,5
nguyen van Manh,"Vị trí đẹp, đồ ăn ok",5
Hùng Anh Lê,"Bánh bị khô quá, vừa cầm vào đã vỡ bánh. Các bạn nvien lịch sự nhiệt tình",3
Hải Lê Thanh,bt,4
Hoa Nguyen,Chỗ này là tiệm đầu tiên đc mở ở hà nội bạn nào nghiện ăn đồ ăn nhanh thì tới đây nhá,5
Diego Berro,Excelente atención!!!,5
Hiếu Hoàng,ăn ngon,5
Phuong Thu,Việc lựa chọn đồ ăn hơi khó đồ ăn thì tạm tạm nhưng sạch sẽ,3
hung vu,"Chi nhánh gần nhà nhất nên mình thường hay ra đây ăn gà rán hoặc vài món khác. Rất thoải mái vì lượng khách cũng lai rai , Lễ thì dĩ nhiên sẽ rất đông đến độ xếp hàng dài ngoằng để order ^^. . Lúc thì mình mua combo 29k , rồi combo 39k , khi thì mình ghé mua phần ăn Happy Meal có kèm đồ chơi cho bé , đồ chơi cũng xịn và bắt trend lắm.. . Gà rán mình rất ưng , vị ngon vừa miệng , bột da giòn tan , thịt gà ngon kèm nhiều loại sốt chấm. BUổi sáng sớm đến trước 11h có bánh muffin kẹp trứng phô mai hoặc thịt khá ổn để ăn sáng. Kem cây ngọt nhẹ. Đặc biệt , đến Mc Donald's nên thử qua món TRÀ XANH ĐÁ XAY best của best nhé ( ngon toẹt vời ) , không hề thất vọng. Món điểm trừ là trà đào nhé ( đừng mua phí tiền vì độ dỡ của nó thôi rồi ).. . Nhân viên khá dễ tính và thân thiện , nhân viên bảo vệ cả 2***đều dễ thương , vui vẻ , rất dễ gần , thích nói chuyện với khách.",4
TM P,Ok,4
Nhà đất Huệ Anh,Ngon ngon,5
tan hoang,Tàm tạm,4
Hung Vu Tuan,"Fan gà chân chính thì chắc không ai xa lạ với McDonald’s rồi!. Gà rán (36k/miếng) vỏ ngoài giòn rụm trong mềm ấm nóng chấm cùng tương ớt tỏi và sốt mù tạt thì phê thôi rồi. Mà có tận 5 loại sốt nên tha hồ lựa chọn nhaaa.. McNugget’s (35k/4pcs) mềm mềm ăn như bánh, thịt không bở.. Burger bò phô mai (35k) cắn ngập mồm, khoai tây chiên nóng giòn, cọng nhỏ.... Mình có gọi thêm kem sốt dâu (25k) và kem sốt socola (25k). Cảm giác ăn miếng đầu tiên là kem mịn, rất là hịn! Nhưng mà hơi ngọt nên ngấy, đợi chảy bớt ăn đỡ ngấy hơn.. Phần ăn Happy Meal (65k) gồm 1 hộp sữa milo, 1 miếng gà, 1 khoai nhỏ và 1 đồ chơi cho bé. Đầy đủ bổ dưỡng, mà người lớn mình ăn còn no luôn đó .  ️ Hiện McDonald’s đã có 3 cơ sở tại Hà Nội (Hàng Bài, Vicom Trần Duy Hưng, Thái Hà) nên thoải mái lựa chọn. Nói chung cả 3 cơ sở đều rộng rãi, mát mẻ, nhân viên đều phục vụ chuyên nghiệp không phải bàn, các bạn í rất là nice luôn.. ~ 100k-200k/người. McDonald’s Hàng Bài",4
Trần Minh Tuấn,dạo quanh hồ rồi nhảy vô mua cái burger...chuẩn ko cần chỉnh,5
Manuel Gómez Puig,"Te atienden bien en inglés y no está mal. Después de estar comiendo varios días comida vietnamita, te apetece cambiar.",4
ahaanaxcreations,Quite expensive but so yummy,5
정다균,맛있는 콘파이ㅋ,4
Hoang Vu Le,Đồ ăn ngon! Vẫn thích McDonald’s,5
me 2,Great little busy place. Excellent location. I particularly love the area where it's located. Some times I got a late night dinner for my son and used my Grab app to get a motorcycle taxi to take me back to the hotel. I just loved Hanoi! Went everywhere by myself using Grab.,5
Kiên Trần Trung,"Đã ăn ở cả KFC, Lote và MC. Ở MC cũng ko thấy có gì đặc sắc hơn. Ở đây việc chọn miếng gà khá khó, Được cái vị trí đẹp",4
Hans-Hermann Brandes,Keine english Kenntnisse,1
VINVIVU “kevin Kevin”,Good,5
Tien Dung Dang,"Không gian hạn chế, bãi đỗ xe cũng hạn chế",2
Chris,"Not a fan of McDonalds in general but missed a taste of home and this McDonald’s was exactly the same as in America, everything tasted the exact same as back home!",5
Pauline Taylor,Loved my big mac just like at home,5
Trần Quốc Tuấn,A normal fastfood :D,3
dide j,Ca reste mcdo,4
Dennis Matthias,War gut,5
Tùng Đăng,Khỏi nói proo,5
Hà Trang,Gà ngon nhất trong các nhà hàng cùng loại,4
Trinh Nguyen,Is has great big Macs with a pretty good price,5
aaron ko,品牌知名店,5
WB,Dude !! There is a McDonald's in Hanoi square,5
Patrice Cailler,"Il y avait de la glace Matcha.
Ça valait un quart d'heure de pause.",3
Sebastián Nicolás Luna,El lugar cuenta con terminales de auto-servicio. El personal sabe hablar inglés y se puede pedir el menú escrito en inglés.,4
An Đặng,Nv xinhh,5
Munni,Love it,5
Katlyn Harris,Over priced and greasy.,3
조해철,그냥 서호주변 맥도날드,3
Duong Ngo,"Những tối mở phố đi bộ, ở đây lúc nào cũng chật kín.",5
Tran Ngoc Minh,"Vị trí đẹp, đồ ăn bình thường!",3
Cat Moon TV,"Rất tốt cho việc ăn uống nhanh
Trẻ em thì hay muốn đến
Xuất ăn trẻ em rất rẻ",5
Thanh Dat Tran,Đồ ăn ngon. Giá hợp lý. Nhân viên thân thiện.,5
Monower Hossain,Food was great..,5
Eiichi Sakashita,"日本のマクドナルドと何も変わりません。
ベトナムコーヒーがあるくらいでしょうか。",3
Tuấn Nguyễn Ngọc,"McDonald’s Việt Nam cam kết áp dụng tiêu chuẩn của McDonald’s toàn cầu, đó là: Quality - Chất lượng, Service - Dịch vụ, Cleanliness - Vệ Sinh & Values - Giá trị.

•High quality food: Thực phẩm chất lượng
•Superior service: Phục vụ chuyên nghiệp
•Clean and welcoming environment: môi trường sạch sẽ và thân thiện
•Great value for money: Giá cả hợp lý

Đã trải nghiệm tại quán và điểm trừ duy nhất là xếp hàng lâu quá 😁",5
Richard Turner,So slow for a McDonalds.,2
Mohamed Khairat,"Probably the slowest McDonald's I've ever been to. Took 15 minutes for an apple pie (I wasn't told it would take that long). Others were waiting for up to 20 minutes for other standard food. Otherwise, it's just a McDonald's really.",3
Van Nguyen,"Quá đông khách, ko đủ chỗ ngồi, chỗ rửa tay rất bẩn",3
Shiny Mani,Usual stuff,5
Nguyễn Cường,Địa điểm đông đúc nhiều người nước ngoài,4
りゅうのすけ,注文を設置型パネルで出来る。なかなか便利,4
Phong Nguyen,Gà ngon,4
Виктор Клименко,"Обычный макдоналдс. Ничего особенного. На сенсорном терминале заказ помог сделать сотрудник в зале, который говорил на русском. Цены ну так, в России вроде подешевле. 2 картошки, 2 небольших чизбургера, 2 коды вышло кажется 230 тыс донгов. По вкусу вполне вкусно. Соусы бесплатны.",5
Quang Trung Nguyễn,"Buổi sáng chưa có BigMac nên gọi tạm set nhẹ. Không rõ có vẫn cùng một nguồn nhập khẩu không mà mình cảm giác như ăn vị cà chua nội địa.

Điểm cộng:
- Vị trí thuận tiện
- Khá mới, sạch sẽ
- Có booth order tự động
- Phục vụ nhanh
Điểm trừ:
- MacCafe chất lượng dở xuyên suốt
- Bánh táo vị không giống đồ ăn cho người
- Vị trí cạnh bốt công an - ko thân thiện với người VN",4
Bogdanov Yuri,"Макдональдс как Макдональдс. Очень приятный персонал. Быстро, четко, в соседнем лоттери помнится полчаса бургер ждал и полменю не было. Снимаю балл за булку в биг маке - котлета отлично, а вот булка прилипла к коробке, пока до дома дошёл и вообще не очень. Мясо с рисом - мяса очень мало, но, впрочем, это лучше и по цене почти также, чем похожие, но еще хуже, такие блюда в минимаркетах.",4
Jasmine,"Je ne suis pas adepte de fast-foods, surtout pas une enseigne que j’ai dans mon pays. Cependant à cause des intempéries nous n’avions que ça pour rentrer vite chez nous. Goûts différents de la France/Angleterre/Corée mais très surprenant pour McDonald’s. Service seulement un peu lent mais il y avait beaucoup de monde. Je pense que certains touristes se prennent pour des rois avec des reproches de typiques colons, puisqu’ils s’énervaient sans raison après avoir validé une commande deux minutes avant. Je suis satisfaite de cet endroit. Poulet frit très bon!

(Visité en septembre)",3
Thu Hiền Martha Nguyễn,"Đồ ăn và uống ok. Phục vụ chu đáo. Không gian thoải mái, trong phòng kín. Không phù hợp cho trẻ nhỏ chạy nhảy. Có bàn to cho nhóm và bàn nhỏ cho cặp đôi. Ok, thanks!",4
Amanda Lee,"Mình order 2 miếng gà và yêu cầu không lấy cục cánh , lúc mang đồ ra bạn nv bảo gà lấy ngẫu nhiên k được chọn, và ngẫu nhiên lại đúng 2 cục cánh. Quá vô lý và mất lịch sự!

Placed an order and asked for not picking pieces with wings, a staff gave me my food and it was exactly wings , he said that they choose random and customer cant get what they want ! So disappointed!!",1
たかぴょん,普通のマクドナルドです。,3
Martin Hokke,Zoals alle mcdonalds,3
CHU CHU,항상 붐빔,5
Humphrey Chau,Ordered curly fries. It was ready before the number came up on screen but the guy was yelling the order number in Vietnamese so I had no idea. Oh well...,4
Nam Nguyen,good,5
L,"越南風格的麥當勞
一個套餐300k越盾左右",4
ricky jadunandan,great and quick service. Wish they had a pork mac burger,5
Dieu Minh Vu,"Burger ngon, vị trí đẹp.",5
Trung Thai Ha,Đông. Đắt. Sang chảnh phong trào,3
na Ni,I had a combo burger with tekiyaki sauce for Tet festival. It is great.,5
Anh Xe ôm Volg,Thái độ phục vụ của nhân viên quá tệ,1
응우엔티탄흥,우웩,1
Nguyenha Que,Đông quá nên cảm nhận khi ăn không được ngon,3
Duc Hieu,"Tuyệt vời, đồ ăn ngon",5
David Ashton,Busy. But the get it done,4
Quang Phan,"Đồ ăn rất ngon, fast serving",5
Hoài Nam,"Ăn ngon và vị trí đẹp, sát cạnh Hồ Gươm.",4
GuanWen Lin,擁擠 空氣有點差...,3
Linh Ta Phuong,"Sometimes the staffs won't let you go upstair if it's late. Otherwise, it's fairly good service and food",4
Nguyễn Thành Long,Đồ ăn được. Phù hợp với trẻ em.,5
Nguyễn Trung PC,Tốt,5
Cuong Nguyen Tien,"Đồ ăn ngon,mỗi tội hơi đông",5
Maissae Raisse,Burger bien préparé services et préparation Inadmissible rester chez vous,2
HIRONORI IKEDA (Line : hiro-hiro1971),立地最高。フリーWiFi。,4
Ninh,Tuyệt,5
Nguyễn Châu Giang,Địa điểm đẹp,5
正君劉,越南的麥當勞比台灣的難吃，價錢也沒有比較便宜。,2
Jhonatan Aditya,They have 5 kind of sauce,5
Marko Petkovic,Great service and wonderful people :),5
רחל פקירי,זוועה,1
김미랑,에그머핀 셋트 69000동~~~,4
谢一萍,"定的外卖，两个汉堡都不对，还没给鸡块，醉了
Mistook burgers, and didn’t give nuggets, f**king order. Обманули с заказом и положили то, чего не заказывали, хотя по чеку вроде “правильно”. Плюс не положили нагетсов. Я не рекомендую заказывать у них что-то!",1
thanh cong nguyen,"Chất lượng đồ ăn và nhân viên thì ổn, nhưng cả quán có mỗi 1 nhà vệ sinh bé quá",3
LIFE IN VIETNAM,Nhanh,5
Ngô Thọ,Ngắm vui thôi,2
Thang,Good,4
Jürgen Thul,"Lokale Menüs sind vorhanden. Mayo und Saucen kann man sich selbst am Spender zapfen, was egtl auch ganz praktisch ist. Qualität des Essens leider so lala. So schmeckten die Curlyfries wie aufgewärmt vom Vortag.",3
Hải Linh Nguyễn,Văngs,5
Moйsta- R,"Located at the busiest street in Hanoi Old Quarter, opposite Ho Hoan Lake. The price almost the same with others country. Service quite good with English speaking staff.",4
코우카,아침이라 그런지 맥모닝밖에 안팔고있음.. 모두가아는 맥도날드의 맛,4
Relax Ayofa,Đồ ăn ngon,5
Bill Bowling,Very good Vietnam McDonald's,5
王靖宇（Tim）,人好多而且價格偏高～～如果找不到吃的是可以來!!但是空調不夠裡面很熱,4
Karen Kruger,Lovely,5
Trang Nguyễn Hoàng,View đẹp...đồ khá ngon,5
long chengheng,"Wc bẩn kinh khủng, bad service",3
Dre Balcos,Mcdonalds by the lake,5
Độc Lạ Hà Nội,Chất lượng theo chuẩn quốc tế. Khá đông khách. Vị trí đẹp nhìn ra hồ Gươm.,5
Linh Phan,Không gian thoải mái.,5
Thắng Vũ Mạnh,Ghé qua thôi,4
바다냄새 좋아,일반 페스트 푸드점입니다,4
SeungHan Yun,"주문 받는 직원들이 친절하며
음식 제공속도가 아주 빠르나
엄청난 인파와 혼잡 때문에 전체적으로 주문및 식사가 종종 문제가 발생함
소스가 없거나 음식이 바뀌거나 없거나 등등",4
Đỗ Mạnh,"Đồ ăn ngon, có thể tự order qua màn hình cảm ứng để lấy đồ nhanh hơn, nhưng lượng khách vẫn quá đông, order xong đợi 30’ mới lấy đc đồ.",4
Asyraf Mohd Zin,"Busiest mcdonalds in the country! Taste as usual, same as the others mcdonald",5
Khai Tran,Làm ko chuyên nghiệp,1
Nguyễn Xuân Trường,"Quán này ăn đc . tuy ko xuất sắc nhưng cũng nên thử , chỉ có điều hơi đắt",4
Ho Leung,Food was clean but service was slow,3
Lục Tài Vlogs,Sách sẽ các bác à,4
Guye Supangan,"Efficient service, good food :)",5
Đối Tương,"Quán đẹp, sạch sẽ. Đồ ăn ngon tuy hơi đắt. Quán rất đông vào giờ cao điểm và cách dịp lễ tết. Nhân viên phục vụ khá tốt.",5
윤찬호,손님도 별로 없었는데 엄청 늦게 나옴,2
Cafe Đắng 2,Hồ hoàng kiếm,1
Akhil Gopinath,Nice staffs and great service.,5
유경선,어디서나 만날수 있는 맥도날드입니다..,3
by Ru,"Ngon , giá cả hợp lí",5
Daniel Jackson,"They're slacking. The service is not the world class McDonald's service we all know and love. The food is standard though. That tastes the same. Also, be careful not to shock yourself on this plug.",3
Anita Arifin,I like their variety of sauce. But I can't find rice menu in here,3
Lakshay Malhotra,Loved their deluxe cheese burger,5
Yash R,Busy McD's with a good selection however the Sal service counter has an issue taking credit cards or is not user friendly.  The person who took our order could barely understand English and it was difficult to explain.  McCafe servo however was excellent.,3
Thanh Huệ Nguyễn Thị,Ngon,4
Tùng Phương Vũ,McDonald always good 🤗,5
soo chen,서빙해주는게 아님 좀 아쉽다,4
潘建助,"跟台灣的價位差不多
客人真的很多
廚房很小，所以出餐速度會比較慢
有免費的廁所，男女各一，需要排隊",5
Trung Dung,"Ko tat bang mcdonal hoang dao thuy. Mieng ga qua be. Se ko quay lai nua vi xung quanh co nhieu cua hang an nhanh hon... gia ca hop ly hon. Tuy nhien, co 1 diem cong cua mcdonal so voi cac cua hang khac la nhan vien chuyen nghiep hon. Va da du ky tu chua nhi?? Cho chac chan!",3
신해철,투어 미팅장소였고 잠깐 들어가서 생수 샀는데 직원들 친절했습니다.,3
充郎,"朝から歩きっぱなしで疲れたがゆっくり休憩が取れた
世界共通の味ですね",4
Robert Sc,Esta bien,3
truong thi nhat hanh,"Thức ăn ok, nhanh, nhân viên phục vụ tốt. Tuy nhiên nhân viên order mặt rất thái độ. Hỏi và trả lời rất khó ưa, nhìn mặt ko cười nổi 1 cái với khách hàng. Bước vào cửa thì quầy order là nơi tiếp xúc đầu tiên đã gây mất thiện cảm nên ăn trưa cũng ko ngon nổi. Cứ như tôi mắc nợ anh ta cái gì. Trong lúc order rất vắng khách, chỉ có tôi thì ko lý gì anh ta lại tỏ thái độ mệt mỏi và khinh khỉnh như thế. No reccommend",2
Quang Nga Nguyen,Gà ngon hơn kfc và Lotteria,4
Wave Honda,It is always good taste,5
蔡昆榕,台灣的還是比較好吃,3
Kabirul Pious,This is one of the popular Mac store in Hanoi. The place is bit narrow but window view is nice.,4
Jules Jublin,"Nicht so toll, sehr teuer und keine regionalen Speisen.",1
mathdic,한국에서도 볼 수 있는 무인 키오스크 주문방식이 적용되어있음. 물론 카운터에서 주문도 가능,4
duc pham,"Quán đồ ăn nhanh ngon, vị trí đắc địa, chỗ ngồi sạch sẽ, gọi đồ và nhận đồ rất nhanh. Giá thành hơn đắt với ngưòi việt nói chung. Đáng để thử và trải nghiệm",5
super genis,Quá ngon ạ.,5
Paras Yadav,Tasty food..,4
Khoa Nguyen - Tom,Món ăn ở McDonald TPHCM so với ở Hà Nội thì bên TPHCM ngon hơn và có nhiều chi nhánh McDonald hơn và nhân viên tốt hơn nhưng Hà Nội thì cụng khá là ngon nhưng nhân viên và bảo vệ hơi tệ chút. Mà vị trí dễ tìm và cũng rất đẹp.,3
trung mai,Đồ ăn ở đây rất ngon và cũng rất tiện để ra hồ chơi,5
Tung Duong,Biển hiệu hơi khác so với các nhà hàng McDonald khác,4
Brid Mcdonagh,What's not to love,5
Hương Vega Quỳnh (TMC2007),"Địa điểm khá thuận tiện, tuy nhiên hơi chật",4
Manh Hung Luong,5 sao !,5
Huỳnh Hiệp,Dạo phố,3
Yourvacation Travel Tourghepdulich,Tốt,4
Tuan Le,Trung tâm Hà Nội,4
Phạm Thái Hoàng,Ăn bình thường,3
Sam Mahmoud,Beautiful place and tasty food also the prices are good,5
Nguyen Nhat Binh,Quá đông đặc biệt dịp cuối tuần,5
Hoàng Nguyễn Xuân,"Buồn ơi là buồn. Burger thì không có 1 cọng rau, miếng phomat thì chảy xệ, miếng bánh kẹp thì xốp bóp phát là vỡ. Khoai tây chiên thì yểu xìu. Nói chung là lần đầu tiên ăn lại sau hơn 9 năm thì mcdonald vẫn tệ như ngày nào.",1
Thanh Vu,"I always like McDonald. Here or in America or other countries, all give the same taste.",5
Bui Huyen,Quick and delicous. Better than Lotteria,5
RentABikeVN com,It's a McDonald's.,5
Hiếu Nguyễn Duy,Sốt rất ngon. Mù tạt mật ông good,5
Amina Stella,Green tea muffin,5
Ciara Lee,Fast service,5
Duy Anh Nguyen,"Đồ ăn ngon nhưng vẫn phải cho 1* vì ăn xong mình ra ngoài bắt grab , đang chờ xe mà trời mưa thì bị bảo vệ ra quát đuổi không cho đứng dưới hiên , có nói là cháu vừa ăn xong cháu chờ xe đón , nhưng ông í vẫn quát , để í thì thấy ai ông í cũng quát nên cho 1* chấn chỉnh nhé 🙂",1
Atuan Nguyen,Hôm nay con ra MCDonald's rõ là hộp Happy Meal được tặng Zozo mà lúc nhân viên lại phát quyền sách. Lý do hết zozo :(,4
Thiem Vu Van (Thiembrian),とてもおいしい。,5
Trương Hoài Nam,"Hơi đông tý, nhưng vẫn chấp nhận được, hơn hẳn KFC.",5
Anh Chu Tuan,"Đồ ăn ngon, vị trí đẹp, ứng dụng công nghệ đặt món rất nhanh và thuận tiện",5
Miki Ben Zaken,אחלה קזינו,4
Dillon Wobben,"Busy, but just good solid McDonalds we all know and live",4
Thu Nhật,khá ổn,5
paul burg,Good location,4
Tú Nguyễn,Chờ đồ ăn quá lâu,1
jack,yummy.,5
lưu lập,Phong cach phục vụ tất chuyen nghiệp chất lượng ok,5
Trung Lê,Ngon tuyệt,5
나는전설이다.,"정신없이 번잡한 곳이죠.
많은 손님 수에 비해서 화장실이 너무 비좁다.",3
Vladimir Bandurchenko,Perfect food and service,5
Tung Nguyen (Tung Nguyen M.D),Quá đông,3
Dan Reed,Aw heck yis pit stop.,5
最高玉子,従業員さんは愛嬌よく、朝マックも最高！！,4
Hưởng Nguyễn,ngon rể,5
Thuy Tran,Nhân viên thái độ ko tốt phân biệt đối xử,1
Alex Havermans,"Went to use the free bathroom and wifi, paper had to be thrown in a bin. Was clean. Friendly staff.",4
SƠN LÂM - STUDIO,Bình thường,4
ᄋᄋ,"가격은 전세계가 비슷합니다.
깔끔하고 좋습니다. 테이블로 버거 가져다주는 서비스도 있더라구요 ㅋㅋ",4
Hafizuddin Kamarudin (Okie Dokie with Mr Po),Normal standard of McD. Good and helpful staff. Open til midnight during weekends,5
장지영,"친절하고 청결했다 햄버거도 맛났다
어른에 아이셋 먹은 가격이 320000동 정도 들었다",4
Aurelie Jordison,"Very cool to discover new dishes from this chain. The rice and pork was very good, the chicken too cuz it's not the same as in France. Peach tea was nice too but too much ice in it.",5
André Pimparé,Miam comme toujours. Pour nous suivre sur Facebook : Drew et Karl en voyage,5
Khoai Ta Khoai Tây,"❤️ McDonald's CÓ NGON KO? - WAS McDonald's GOOD? 😀 #khoaiinhanoi
Yup, đợt vừa rồi 2 đứa cuối cùng cũng đã đc thử Mc Donald ở HN 😗 Bọn mình đã chọn những thứ căn bản nhất và nổi tiếng nhất ở đấy như McNuggets, Cheeseburger và McFlurry. Ngoài ra thì có gọi gà rán vs khoai chiên nữa.
Và thực sự thấy rất bất ngờ, bơi vì mấy món nổi tiếng... chả ngon như lời đồn 😳 Burger ko ngon bằng của KFC ấy huhu, miếng thịt bò nhạt nhẽo, khô xác xơ, ăn còn ko có vị bò, vs 1 miếng cheese, tí xốt, hết! Nuggets cũng thế, vị rất bt ko có gì thần thánh hết :< Thất vọng quá huhu 😭 Cái kéo lại ở đây nhất chính là quầy sốt chấm, có đến tận 5 loại, ngoài ketchup vs tương ớt ra thì còn có cả tương ớt tỏi, mù tạt mật ong vs mayonnaise. Nhưng mà kem thì đúng là ngon thật, ngon nhất trong mấy hãng đồ ăn nhanh kiểu này.
Gà rán cũng khá đc ý. Khoai tây chiên ngon, hôm 2 đứa ăn lại còn đc khoai mới nóng giòn 😗 Thấy có cả bánh nữa nhưng mà 2 đứa chưa thử.
Nhìn chung là hơi buồn, vì thấy nhiều ng nghiện đồ ăn ở đây nên kì vọng hơi nhiều 😅
🔴 McDonald's
📍2 Hàng Bài, Hà Nội
💲15-295k
------
Yup, on the trip to Hanoi, we even tried Mc Donald 😗 We chose the most famous stuffs there like Cheeseburger, McNuggets and McFlurry, with some other stuffs like fried chicken, fries.
We're so surprised, cuz... they weren't that good! 😳 The Burger was so bland, dry beef patty, didn't even taste like beef, with a silce of cheese, some sauce, done. Same with the nuggets, too normal to be something 😔 The nice thing in here that we love the most was they have 5 kinds of sauce, not just ketchup and chilli sauce, they even have mayonnaise, garlic chilli sauce and honey mustard 😍
But the McFlurry was really good, best ice cream in all of the fasfood franchises for us.
The fried chicken was nice. Good fries, we got them from a new batch, so they were even hot and crunchy 😚 They have cakes too but we didn't try.
In general, it was a lil bit sad, like there are a lot of people that addicted to these stuffs so we really had high expectation... 😔

Follow our blog on Instagram and Facebook for more reviews : @khoaitaykhoaita_",3
다빈,친절한 점원. 깨끗한 맥도날드.,5
Charlden Van Wyk,Good food but bad service,4
Trang Trần,Mở,4
Jeremy Simmons,Best Maccas. Good spot to watch over the crazy traffic,5
Trịnh Thị Dung (Dung Lùn),Không gian ngồi khá rộng nhưng chỗ đi vs thì ít quá 😅😅😅,4
Đồ Thờ Tượng Phật Tân Trang,Chưa ghea,3
1 horavel,"매그도날드
칼로리 채우러감",5
An H,Ok,5
Vasco Pinto,It´s a McDonald´s :),4
Do Chi Thanh,Good,5
Feng Michael,"Quán ở trung tâm, đúng góc đẹp, đông khách, chắc chỉ phù hợp khách du lịch.",4
Hương Giang Lãnh,"Phục vụ tận tình, chu đáo.",5
Hung Nguyen Thanh,Too crowed and messy,3
Seuk Kee Hong,MD,5
Vladislav Blecha,McDonald's jako všude ve světě,5
Lộc Lê,Phục vụ chuyên nghiệp. Gọn gàng,5
Phương Chi Đinh,"Khoai mặn, nv cho muối 2 lần, biết mà vẫn đem ra bán cho khách",2
Studio Suchi,Tuyệt,3
Tu Nguyen Duc,Bình thường burger k ngon mấy,3
B Basnyat,Staff sleeping on the sofas. Weird smell!,1
Tiger Official,Đẹp,5
Thomas Hubbard,Bigmark khác ngon,5
Binh le duy,Good,4
Martin Ngo,"Nhân viên rất nhiều mà toàn làm việc riêng. Không hướng dẫn khách mua hàng chỗ nào, thanh toán ra sao?? Để khách đợi một lúc lâu mới có người ra hỏi... chán cho 1 thương hiệu toàn cầu.",1
Steve Hammond,"What can I say, the burger was fresh as and as always coke was refreshing.  Ac was cold and you get unlimited sauces 😅.   Yum!",5
신상일,"미디엄 빅맥 8만9천동(미디엄빅맥이라고하면 우리나라 세트를 줌),빅맥버거(단품) 주문. 앉아있으면 가져다 줌. 맛은 빅맥과 같음.",4
Euphorian Traveller,so busy,1
Ngọc Nguyễn,"Đồ ăn được, vị trí đẹp, mặc dù có máy để gọi đồ cho nhanh nhưng lúc thanh toán bằng thẻ lại bị lỗi",3
Hoàng vân vlog,Tốt,4
Tuan Thanh,Nhộn nhạo quá,3
Ghost,Đi qua,5
tran trung Nguyen,Tốt,4
Huyen Ngo,Best location around walking street,5
Trang Lê Thị,"Mình từng ăn mcd ở hoàng đạo thúy, thì đc nv mang ra tận bàn. Còn ở đây thì phải tự sếp hàng rất lâu. Có lẽ do trên phố quá đông chăng.",4
Ngoc Vinh Pham,"Chỗ ngồi view đẹp, quy trình mua hàng thuận tiện. Một số món ăn cần thay đổi cho phù hơpk với khẩu vị người dân địa phương.",4
Helen Balbino,Limited selection...,5
Quốc Đạt Nguyễn,It's the most of Fastfood in Ha noi,5
Eldana,"Vlean, quick and helpful",4
nguyen hai,Dj,3
Lalit Gosavi,I visited this place in closing hour. They don't have veg burger on the menu but we can request one with veggies for the same price as non-veg. Staff is really friendly.,4
nexsus five,Thank Allah for mc cafe coffee,4
hong ha pham,Lúc nào cũng đông,5
Sơn Đinh Ngọc,ngon,5
Canh Nguyen Van,"Không gian đẹp, dịch vụ hoàn hảo.",5
Phạm Tuấn,"Gà, hamburger và nước chấm ngon tuyệt",5
Hồng Anh Trịnh,"Chắc tại số mình nhọ nên đi đúng tầm giờ cao điểm đông khách nên đợi hơi lâu, đến lúc có đồ ăn thì miếng thịt bò trong bánh của mình vẫn còn bị lạnh ở giữa nên ấn tượng ban đầu không tốt cho lắm. Trừ thịt bò trong bánh ra thì cánh gà và khoai khá ngon, nên ăn kèm sốt mù tạt mật ong.",3
miller lee,還好,3
Monz 11CB,Chất lượng phục vụ tốt,5
Dang Xuan Son Linh,"Thức ăn không ngon, đc cái mặt tiền",2
memo havok,"Was gonna try it just to say i went to mickey dee in vietnam, unfortunetly, it was full of uneducated white people that cant have enough of their mcdonalds back home that they have to eat it here as well!  These are the same people that complain that vietnamese speak vietnamese or throw a fit at the history war museum, why you they even leave their home country?",1
Armys Nguyen,Đẹp quá,5
Tung Pham Trong,Đẹp,5
Bravo Son,Localized but good enough for tourists with local Hanoi food allergies.,3
HAN YOHAN,"현지식 음식에 약한 아내를  위해 방문한곳.
버거가 너무 닥았다.",3
Cáo thông thái,Phục vụ rất nhanh,5
Mohan K,Variety of sauces,5
Hau Nguyen Van,"Phục vụ nhanh, cuối tuần đông không có chỗ ngồi ăn",4
ngaphinh,Chú bảo vệ rất đáng yêu và nhiệt tình,5
Trịnh Đắc Quân,Món ngon,5
Hyunjin Kim,그냥 그래요,3
An Nguyen,"Nice view, fast food with good service and friendly crews!",5
L.J.,"매장 분위기 나쁘지 않고
한국이랑 다른새로운 메뉴는 없는 것 같음
한국이랑 다르게 직접 자리로 배달해주고
소스는 원하는만큼 가져오면 되기에 좋음
감튀 맛도 한국이랑 똑같고
칠리소스를 자유로이 먹는점이 좋았음",4
Daniele Di Tonno,In caso di estremo bisogno di occidentalita non guasta,3
Diệp quang Tới,Quá đông vui trong ngày tết thiếu nhi,5
Paul Bennett,Typical McDonalds. Good service a plus,5
Jason Marburger (Jay mac),The cashier was really awesome spoke great english.. which is rare in Vietnam,5
Thang Pham,"Good choices for hamburger, french fried, cola...",5
Văn Văn,Nv phục vụ chưa tốt,1
Dinh Anh,"Ăn ngon, phải xếp hàng vì đông.",4
jauk koo,한국이랑 차이점은 못느낌,4
Long Nguyen Ngoc,Vì thích ăn kem,4
Huy Hoàng Nguyễn,ok,5
