Name,Review,Stars,Sentiment
Thu Tô,Good,5,Positive
Dang Tien,Good,5,Positive
Thịnh Kim,Good,5,Positive
Hùng Tòng Văn,Good,5,Positive
Phượng Đỗ,Good,5,Positive
Bao Nguyen,Good,5,Positive
Dung Nguyễn,Good,5,Positive
BYA Y TIEN,Good,5,Positive
Nhac Hoang,Good,5,Positive
Linh Đỗ,Good,5,Positive
Phương Trần,good,5,Positive
Thích Xì Gà,"Đông đúc, nhưng vị trí đẹp vậy mà làm view không đã lắm.",4,Positive
Tân Nguyễn,Good,5,Positive
hoàng nguyên,Good,5,Positive
Hop Vutuan,Good,5,Positive
Hoàngg Tyếnn,good,5,Positive
trong xuan,Good,5,Positive
Đức Anh Hoàng,Good,5,Positive
ngọc châu cover,Good,5,Positive
luân phạm,Good,5,Positive
martin clyton,Very bad.... open at 7am nothing ready... change the manager. At 7.01 I ordered by 7.15am I ask for my order. They asked me to wait 10 mins more! Omg!!! When you open at 7am you need to be ready at 7am. Not open at 7am and nothing is ready... very Angry 😠 😡,1,Negative
Hiên Nguyễn Công,Good,5,Positive
Hoa Lê,Good,5,Positive
HOA NGUYEN,Good,5,Positive
Thái Nam Đặng,Good,5,Positive
Rayne Vũ,Good,5,Positive
Nghĩa Minh,Tuyệt Vời,5,Positive
Izabela Maria,"Standard McDonald, nothing bad to say. They keeping this place clean. Some people are speaking english",5,Positive
Văn Tú Nguyễn,Ok,5,Positive
Thanh Phan Thị,"View đẹp, nhìn ra Tràng Tiền, Hồ Gươm. Máy order tự động, nhanh gọn lẹ.",5,Positive
du minhphAT,Để khách chờ đợi lâu,1,Negative
Tâm Đặng Mai,"Ấn tượng về cái máy order đồ ăn, lần đầu mình ăn ở đây, 1 suất ăn bé hơn so với kfc và lotteria giá cao hơn chút, đồ ăn ok nhé",4,Positive
RICK HUNTER,"Évitez le mercredi, vous comprendrez pourquoi 😁",3,Neutral
nkchi,"Đồ ăn nhanh. Ăn cũng ngon. Phục vụ chạm, chưa tốt. Nhưng khu rửa tay rất tệ. Lần nào tôi đến cũng thấy nước ướt nhẹp cả sàn. Vòi cảm ứng chắc lắp lâu quá rồi nên mãi mới cảm ứng được. Bồn rửa hơi cao, vòi rửa hơi sâu so với tầm với của các bạn nhỏ dưới 10 tuổi.",3,Neutral
Hoang Nguyen Van,"Đông vào cuối tuần, nhân viên tư vấn vị cay cho cả trẻ em, đồ ăn cay và mặn, order lâu, máy hay lỗi",2,Negative
Thảo Nguyễn,"Gà ngon, sốt mù tạt mật ong siêu đỉnh luôn nhá. Không gian khá rộng nhưng lần nào đi cũng rất đônggg",5,Positive
Ngọc Tuân Trần,"Quán đông, ngồi cũng không sạch sẽ (vì nó quá đông). Xếp hàng rất mất thời gian. Nên cân nhắc nếu ăn ở đây vào cuối tuần, vì vào ăn, như đi đánh trận.",3,Neutral
Ducklings Systems Little House,Crowded and doesn't care about customers. Took 1 hour to receive an order of 2 fried chicken and 6 pieces chicken nuggets. Really?! 1 hour just for that order?!?! I understand if it's a big order but only 2 things yet it took you an hour? I didn't realize that fastfood means you have to wait for an hour to get your order. That's what fast means now. Very disappointed!,1,Negative
cuong doan,Nhân viên mắt dậy thật,1,Negative
Linh Nguyễn,"Đã đặt ở quán rất nhiều lần nhưng lần này cực kì bực mình. Đơn giao thiếu đồ, gọi quán để xem lại thì k ai nghe máy, báo cáo đơn hàng trên app cũng ko thấy phản hồi",1,Negative
Ricky Muchtar,I'm lovin' it,5,Positive
Genji M4,"Who won now, huh?",5,Positive
Isaac A (Merp),"Felt like I had to try McDonald’s from a new country so I ordered a few items, it’s definitely terrible compared to the western McDonald’s. I don’t know what is inside these Vietnamese McDonald’s nuggets but it definitely is not chicken",3,Neutral
Pong Pong,맥날 좋아하는데 가격차이가 크진 않네여 그냥 똑같은데 사실.. 더 비싸도 가까웠다면 많이 갔을건데. 한식보다. 맥날 먹고 감동스러웠음 난,5,Positive
louisiana vlog,"하노이에서의 아침은 항상 맥도날드에서 !!
키오스크 주문 방식인데 신기한건 주문 영수증받고 현금을 카운터로가서 재결제해야되요. 매우 위험해 보이는 관리 시스템!!",5,Positive
Chase Your Dreams,"Very efficient, helpful staff, delicious and big sitting area to eat at the first floor 🌟🌟🌟🌟🌟 Great location near the Shopping complex",5,Positive
ĐỨC PHƯỢNG Đại lý Trà Cung Đình Huế,bán các loại trà đặc sản vùng miền,5,Positive
Roger Senn,Typical McD. The time we had been there they skipped table service due to personal shortage. Only two toilets. Needed to cue up.,3,Neutral
sing ll,Khá đông,4,Positive
Dirk Swanepoel,"Seen them now 3 times give out the same order, to locals that ordered after us. 30min waiting period is a joke for fast food. Everytime you ask whats goung on. Wait 5 minutes. Joke",1,Negative
Nguyen Hiep,Buổi sáng ko đông khách nhưng phục vụ siêu lâu. Thái độ nhân viên kém. Đưa thiếu đồ trong đơn đã đặt. Tệ hại,1,Negative
h lhr,Impossible de se faire livrer. Buzzy et commande annulée 5 fois,1,Negative
Dzung Luu,Terrible service,2,Negative
Minh Anh Thu Nguyen,hồi xưa ăn thì ok nhưng dạo này cánh gà cứng với rất khô.,3,Neutral
Nguyen Chi,Tôi phải chờ hơn 1h để đc phục vụ phần mà tôi đã thanh toán,3,Neutral
Duy Linh Phan,"Đông, ăn đc. Phục vụ nhanh",5,Positive
Huy Anh,Vào lấy đồ lâu bỏ mẹ,5,Positive
Kiên Lê Trung,"Cửa hàng đông khách. Order và thanh toán dễ dàng. Chờ đồ hơi lâu.

Chất lượng đồ ăn, đồ uống tốt.",5,Positive
Nhung Đỗ Hồng,"Một địa điểm nổi bật trong các chuỗi thương hiệu đồ ăn nhanh! Phong cách phục vụ, cơ sở vật chất, vị trí chỗ ngồi, đồ chấm kèm theo, ... tất cả đều đúng chuẩn chất lượng thế giới.
Gà rán ngoài giòn trong mềm, đậm đà. Khoai tây chiên đậm vị khoai, ăn nóng rất ngon ngậy.
Có hẳn 4 loại nước sốt chấm: tương cà, tương ớt, tương ớt tỏi, sốt mayonnaise ( vô cùng ngậy).
Nay muốn vào để lấy đồ chơi trẻ em, con Tom & Jerry, ấy mà hết, có đồ chơi khác cũng vui ko kém.",5,Positive
윌남꿀주먹,Macdonald,4,Positive
Hoang Phat Nguyen,"Nhiều lựa chọn, vị trí rất đẹp",5,Positive
Hiệp Hiên GPDN,"Chuỗi kinh doanh toàn cầu(?) Trả đơn nhầm tên. Có biển đề thanh toán chống dịch nhưng KHÔNG nhận tiền chuyển khoản, KHÔNG nhận thanh toán Momo, KHÔNG nhận thanh toán thẻ. Nhân viên có vui vẻ nhưng thiếu chuyên nghiệp",1,Negative
Mario Dang,Đồ ăn ngon...phong cách phục vụ nhiệt tình và tốt....1 địa điểm ok để ăn uống và check in.,5,Positive
박동혁,여긴 미쳤다,5,Positive
Nguyễn Văn Đức,"Rất thuận tiện, đồ ăn ngon.",5,Positive
Hoi Ngo,"Chất lượng phục vụ quá kém, hôm nay tôi đặt bữa sáng mà nhân viên lại đưa kem trước, đứng đợi tới kem tan chảy ra tay vẫn chưa đưa nốt những đồ còn lại, cũng kệ đấy không đưa giấy ăn cho khách.

Mc Muffin cũng quên đưa muối và tiêu cho khách, vấn đề này nói bao nhiêu lần rồi mà lần nào cũng quên. Lần trước tôi đã mắng cho rồi tôi nghĩ họ sẽ không quên nữa, ai ngờ đem đồ về mới biết là đưa thiếu.

Nói chung quá thiếu chuyên nghiệp.",1,Negative
Dũng Trần,Ăn đợt mới nới lỏng giãn cách nên cũng bình thường,4,Positive
WindGod Hoang,View ổn đồ ăn ngon.,4,Positive
Matthew May,"I don't care what you say, I love a maccies now and again",5,Positive
Giang Nguyễn Hương,"Dịch vụ quá chậm,  Tôi  tên Nguyễn Hương Giang,    hôm nay  khoảng 14h  ngày 2/2 /2022 có đến Mac donald  Hồ Gươm 2 P Hàng Bài Hoàn Kiếm Hà Nội, gọi combo 179k  + 1 chai  nước lọc Dasani,  + 1 sữa th true milk,  + 1 ngô tách hạt  = tổng 278k,  trả tiền mặt sau khi oder trên bảng thì được số xếp hàng là 82, trả tiền xong,  được số 182,  nhưng  Tôi chờ mãi không có số 182 trên bảng trả đồ ăn,  Tôi hỏi nhân viên thì họ cau có nhăn nhó,  bảo:..."" chờ, chờ đi "" Tôi thấy rất nhiều số,  người đến sau Tôi, đã ăn xong, đi về,  Thế thì mac donald  cho phép chen cả người sau lên người trước,  đồ ăn combo 179k  thì cắt xẻo,  ăn bớt,  thiếu cả khoai tây chiên, thiếu cả 2 cốc coca co la của Tôi. Mac donald  có camera rất nhiều, sao Tôi có thể nói dối, nói sai được",1,Negative
Minh Nguyen Duc,Good,5,Positive
Adan Morones,"Clean, organized, hard working staff, good quality.",5,Positive
어머니시민,그냥 세계여러 맥도날드이용 잼나다,4,Positive
Thịnh 64 Nguyễn Ngọc,Đồ ăn nhanh nhma ăn cho biết tại lâu lắm mới về HN.,4,Positive
Tan Nguyen Cao,The restroom is out of service. !!!???,1,Negative
Mịch Lê,Món ăn nhanh cho mọi người ngon rẻ,5,Positive
Xuân Lộc Nguyễn,"Phục vụ tốt, thức ăn đúng tiêu chuẩn.",5,Positive
Stephanie Claire Mills Mills,Very busy- card only with only self service and dated decor,3,Neutral
Duy Anh Do,Cần gọi ăn nhanh để đi gấp nhưng đợi mất tg quá. Nên cải thiện thêm,1,Negative
Liên Nguyễn,"Sach,đẹp dễ tìm",4,Positive
thanh vàng,Rất vui khi được làm quen với bạn bè của tôi và mọi người,5,Positive
trang hoàng đài,Kem ngonn,5,Positive
Thành Nghịch Ngợm Official,"Có vị trí đắc địa giữa phố đi bộ, ngày thường thì có chỗ để xe, có máy odre tự động, đồ ăn ra nhanh, không phải trờ đợi quá lâu.",5,Positive
Long Nguyen,Không gian và phục vụ tốt,4,Positive
Viet Le,Đẹp. phục vụ nhanh,4,Positive
Jr Caroline (Cá),"nhanh, tiện lợi",5,Positive
Thanh Hoà Nguyễn,Quán tủ của các sếp nhỉ nhà tuôi 🤣,5,Positive
Hong Dang,So fresh and good price,5,Positive
Klaus Eckstein,Very good,4,Positive
Thanh Thảo Nguyễn,"Đồ ăn ngon, view đẹp, rất đáng để làm một bữa no với bạn bè ^^",5,Positive
Luxe Thai Restaurant,"Too many people, ling queue",4,Positive
Đức Anh Phùng,So cute!,5,Positive
Hiep Truong,Tốt nhanh,5,Positive
Nguyễn Hoàng,"Không ngon bằng KFC. Vì nằm ngay vị trí đối diện sát Hồ Gươm nên quán khá đông đúc, ngột ngạt.",3,Neutral
Nguyễn Hằng,Ngon,5,Positive
Anh Tuấn,Chất lượng,5,Positive
Thắng Lương,Quán phục vụ chuyên nghiệp. Đồ ăn ngon,5,Positive
Charles Chen,This is the reason I go to Hanoi,5,Positive
Việt Anh Đặng,View hồ Gươm,5,Positive
Lê Minh Hải,Điểm đẹp nhất Hà Nội,5,Positive
林欣平,以前只有漢堡薯條跟台灣一樣，現在多了炸雞，但是炸雞非常難吃！跟台灣的完全不一樣，我寧願去吃KFC的，漢堡也退步了裡面的料、蔬菜跟醬料給的很少，越來越差,4,Positive
Nguyen Linh,supper good food,5,Positive
Quân Bùi Quang,Chất lượng đồ ăn xuống quá !,1,Negative
NBT Channel,"Nhân viên thân thiện chuyên nghiệp
Đồ ăn cũng ngon",5,Positive
thao do,Tuyệt,5,Positive
CALVIN Shih,Vi tri tot,5,Positive
Anh Dre,McDonald's is like McDonald's.,4,Positive
Quốc Anh Nguyễn,Quá tuyệt vời.,5,Positive
Garel Alexandre,"well , just a burger",4,Positive
Dũng Anh,"Ngon, nhanh, chuyên nghiệp",4,Positive
thuc dongngoc,1 trải nghiệm khá tệ tại đây,1,Negative
4G SIM,Oki,5,Positive
Ninh Tran,Tot,5,Positive
Ngoc Anh Le,"Ngày thường phục vụ rất nhanh, cuối tuần khá đông nên đợi lâu chút. Đồ ngon, nóng",5,Positive
Khanh Vuong (strongGB),"Khi bạn cần 1 bữa ăn đầy đủ giao về nhà qua Grab. Thì bạn lại nhận được 1 nửa món hàng và mất 30k tiền điện thoại để báo nhà hàng là giao thiếu món!

Phải chăng nhân viên ở đây không được đào tạo? Hoặc quản lý bận xem youtube? Làm ăn mất uy tín vậy sao tồn tại được?

Terrible Service ever! Untrained and unprofessional staffs",1,Negative
hiền nguyễn thị thu,"Mới đi test món mới thấy không đặc sắc
Quán về chất lượng đồ ăn thì ok
Nhưng thái độ phục vụ thì chắc do thiếu nhân lực nên hơi loạn
Dù có 2 máy order nhưng vẫn xếp hàng rất dài
Ngoài ra thì view đẹp
Nhưng không gian ăn bị 1 cô ăn xin làm rối nhiều vì xin đồ ăn
MC nên có an ninh tốt hơn",3,Neutral
Hiển Nguyễn Trường,Đồ ăn không thực sự ấn tượng. Gọi 2 suất cơm thịt heo thêm 1 combo. Hơi bất ngờ rằng quán bán cơm nhưng không có nổi 1 cái thìa🤔. Cơm hơi nát. Mình có gọi thêm rau với dưa chuột kèm theo với cơm mà chỉ có 1 chút. Không biết nếu không gọi thêm thì như thế nào? Bánh burger kèm combo gà là cái mỏng nhất mà mình thấy. Bánh nhiều sốt nhưng hầu như ko có chút rau nào. Gà ướp ngấm gia vị khá tốt. Nếu không có món gà chắc mình chỉ đánh 2 sao!!!,3,Neutral
Mohamad Iqbal,Nearby to the city center,5,Positive
Nguyễn Tiến Sơn,Cửa hàng ngay trung tâm phố tràng tiền hàng bài. Đồ ăn ngon và view đẹp,5,Positive
Phuong Ngoc Vu,"Slow service, forgot my burger in a takeaway order, dirty restaurant.",1,Negative
ninh do,"Cảm ơn các bạn,khi mình gặp khó khăn các bạn đã hỗ trợ mình hết sức",5,Positive
Hiep Tran,"Đồ ăn ngon, thường xuyên đông nên chờ khá lâu.
Reviewed by htecom.vn",4,Positive
Viet Nguyen,Quán tự phục vụ.,4,Positive
Minh Nguyen,"McDonald bạn mình hay trêu là đi ăn nhà hàng Mỹ ở bờ Hồ không? 😂😂😂😂😂

Lần nào gọi đồ cũng chung một kiểu không khác nhau mấy. Và lần nào mình cũng phân vân ăn gà cay hay không cay vì sợ đau... vào ngày hôm sau. 😂😂

Đồ ăn ok, phục vụ cũng nhanh, tuân thủ bảo vệ khách khỏi Covid. 😂😂",4,Positive
Anh Đức Đỗ,"Quán có hệ thống đặt đồ ăn qua màn hình rất tiện, ko mất nhiều thời gian xếp hàng như trước kia, đồ ăn ngon, phù hợp bữa trưa cần ăn nhanh.",5,Positive
Tuan Nguyen,Ngon,5,Positive
Lee Edna,"Hôm nay đi đúng 14/2 lại còn mùng 3 tết nên ối dồi ôi đông thì thôi ạ. Đang xếp hàng thì có bạn nv gọi lại cho order tại quầy thì khá rối vì chưa nhìn kỹ đc menu. Nhớ là có gọi combo 2 người A giá 129k hay sao. Và một phần có mã KM thì là 89k. Tổng 213k thì ăn cx tạm đc. Mình đã thử hết tất cả loại gà rồi thì cá nhân vẫn thấy thích của Lotteria nhất. Còn ở đây gà mình thấy giống của popeyes ý mọi ng. Chỉ có loại gà thường và gà cay k sốt sủng gì cả. Nhưng hamburger ở đây thì khá là oke nhé. Ăn ngon hơn những chỗ khác. À còn một nhắc nhở là khi đến đây muốn order tại máy thì nhớ tạo nick ở app McDonald's trc nhé, và hãy chuẩn bị một cái thẻ thật đầy tiền=))))
- không gian : 6/10 vì nhỏ và bí
- nhân viên : 7/10
- giá cả : 6/10
- quay lại or not : quay lại sẽ chỉ ăn ham thui=))",4,Positive
Huy Pham,Tiny and no parking,4,Positive
NeXus,"Alles top. Sehr sauber und sehr lecker. Es gab viele Gerichte, die es in Deutschland nicht gibt und es gab kostenlose Dips.",5,Positive
Edzel Aaron,Loving it!,5,Positive
Cương Hoàng,Full my wallet by penny. Nice,1,Negative
Dương Minh Hoàng,Vừa có đồ ăn vừa có đồ chơi cho bé,5,Positive
trang tran,Các con mình yêu thích địa điểm này,5,Positive
Tuan Nguyen,Good food but a little bit crowded at festive seasons. No seat available on New Year Holiday.,4,Positive
Minh Thanh Le (Le Minh Thanh),Quá đông nên chờ đợi hơi phiền.,4,Positive
Nguyen Huy Ngoc,Đồ ăn ngon,5,Positive
Jose Cedrass,Great food!,4,Positive
Chu Đình Hiếu,Đông quá,1,Negative
Toàn Thái,Nhiệt tình,5,Positive
Matthew Mayer,They ignore the special instructions comment box on Grab. This is dangerous as I could have been allergic to the soy sauce I asked not to put on my rice. Such a simple thing to leave off.,1,Negative
Lê kim Thưởng,Ok,5,Positive
The Vandalism,"Nhân viên nam tóc dài đeo kính phục vụ buổi sáng ngày 13/12/2020 có thái độ phục vụ tệ, nói giật giọng với khách.",1,Negative
Huyên Nguyễn Văn,Tuyệt vời 💯,5,Positive
duong leduy,Dc,5,Positive
Thanh Phạm Quang,Nhận được đơn giao hàng ở xa gọi điện đến chốt đơn đỡ mất thời gian chờ đợi lấy đơn thì nhân viên từ chối nhận đơn qua điện thoại. Phục vụ quá kém,1,Negative
Dinh nhat le,"Vốn yêu món Big Mac, nên là có cơ hội để béo thì phải chén cho nó đã. Gọi 1 chiếc combo và cảm thấy hài lòng với lựa chọn của mình ghê gớm :)) Big mac ngon nè, gà ngon nè, khoai hơi ỉu nè, quán hơi bé và đông nè, chờ hơi lâu nè. Có cơ sở 2 ở Hoàng Đạo Thúy rồi các Mac fan ạ, đỡ đông hơn và dường như to hơn đó.",4,Positive
Nguyên Khánh Corp,Ngon,5,Positive
anh quynh,"Tận tình, chu đáo, nhẹ nhàng",5,Positive
정병진,베트남음식이 입에 안맞고 한국음식이 안땡길때 가면 좋 음 참고로 맥모닝시간도 똑같음,5,Positive
황경진,맛이없다,4,Positive
Mak Nguyễn,"Đồ ăn bình thường,  size quá bé so với các nhãn hiệu khác,  hambuger rất tệ,  không hệ ngon.  Gà rán thì tạm được nhưng hơi khô.  Điểm cộng là có thể mua và tự thanh toán qua các màn hình cảm ứng lớn.  Giá cao so với chất lượng đồ ăn.  Không bằng kfc và lotteria , được mỗi vị trí đắc địa.",3,Neutral
Thu Tran ba,"The location is very nice, convenience. It is located in the corner of Hang bai & Trang Thi street. I think one of the most expensive street.
To be hones, i do not like fast food, not only Mc Donal or KFS.",3,Neutral
CÔNG KHANH NGUYỄN,"Quán đông, đồ uống ngon hơn đồ ăn. Views tốt. Nhân viên phục vụ bình thường.",4,Positive
NGUYEN CANH Nam,Crowded,4,Positive
Danny Tseng,常常有位子，真方便,5,Positive
Bình Bùi,Đồ ăn rất ngon,5,Positive
Carlene Groen,Very slow and the upstairs was very dirty,3,Neutral
Hoang Song Huong,Good and friendly staffs,5,Positive
Binh Minh Nguyen,Always crowded,4,Positive
Tuấn Tô,Ok,1,Negative
Liron Bebchuk Amir,סניף  בהאנוי שחזרנו אליו שוב ושוב עם הילדים. שירות מצויין. ניקיון השירותים דורש שיפור,4,Positive
Tùng Hoàng,Khoai tây giòn hơn ở Thái Hà nhưng chỗ ngồi ít.,4,Positive
Lê Hoàng Minh,Đông nên không được sạch sẽ cho lắm,4,Positive
Dung Vo,"Fast food hiện đại, giá cả phù hợp ở khu phố cổ cho những người đi bộ cuối tuần.",5,Positive
Lauren Goodwin,The consistency is awesome- reminds me of home and tastes just like north american McDonald's!,5,Positive
Thanh Tâm,Tiện lợi và ngon nghẻ,5,Positive
Cao Nguyên Cường,"Mọi thứ đều đi trước thời đại và chuyên nghiệp ở mức độ cao nhất. Đồ ăn sạch sẽ, gà rất ""giòn da thấm thịt"" và có nhiều sốt ngon. Nên thử mù tạt mật ong và sốt tỏi ớt. Nếu như không phải đi bộ vào quán thì sẽ ghé thăm nhiều hơn.

Cập nhật: Dạo này McDonald's có chương trình 99k 2 burger bất kỳ hoặc mua 1 tặng 1 thứ 5 hàng tuần rất OK. Hy vọng sẽ tiếp tục có các chương trình mới để thu hút khách hàng.",5,Positive
khanh nguyen,Mua đồ,1,Negative
Tuấn Tú,Phục vụ tệ,1,Negative
jaehyun lim,"설명이 부족한 맥도널드 처음
음식이 나왔지만 본인이 서서 기다리지 않으면 절대 본인것인지 모르는 훌륭한 시스템
ㅜㅜ 이런경험 처음",1,Negative
mit lâm,Thái độ phục vụ của nhân viên rất chi là khó chiuh,1,Negative
Шаг за Границу,А мне понравилось.,5,Positive
Scott Bowden,This is good standard McDonald's with a lot of seating space upstairs. I felt inclined to leave a review because the management was very accommodating and kind to me after there was a mistake with my Grab order. They went out of their way to contact me personally and make sure I got what I actually ordered later. When I went in the manager was super friendly which is nice cause it could have been an awkward situation :),5,Positive
yasuhiro izumida,phoバーガーはあまり美味しくないです,3,Neutral
Nguyen Dinh Cuong,Một trong những thương hiệu đồ ăn nhanh ngon nhất trong những cửa hàng bán cùng loại,5,Positive
Bich Huyen Le,"Phục vụ tốt, đồ ăn ngon, có thể tự order và thanh toán",4,Positive
Mây Nguyễn,"Đồ ngon, phục vụ lâu, đa dạng các loại sốt.
Mình đánh giá đồ ngon nhất trong các chi nhánh McDonald's",4,Positive
Hai Thanh Tran,Em thích chị phục vụ quá,5,Positive
Kwee,"It is too small size chickens than others ,",4,Positive
Begzodbek Urinboev,It was better before. Now looks dead place without tourist. Food is much worse than before,3,Neutral
Vũ đại Phạm,Coi thường tài xế công nghệ!,1,Negative
Thủy Trần Thu,Tot,5,Positive
Phu Do Thi Hong,Nhân viên nhiệt tình,3,Neutral
Hòa Trần,Phải thử cafe,4,Positive
Ndugga Ronald,The service is fast,5,Positive
Linh Nấu,Đắt vãi,1,Negative
Công Nguyễn,Quá nau,1,Negative
Barath Kannan,Lovely place to spend time .... Chicken wings is one of the favourite Dish.,5,Positive
Vuong HUY fashion,dv tốt,5,Positive
trung lê,Nhân viên phục vụ quá là ok.đồ ăn ngon.giá phải chăng,5,Positive
phạm tùng,Đợi order hơi lâu nhưng đồ ăn chấp nhận được,5,Positive
Long bùi,Cũng ngon. Nhưng tự phục vụ hơi nhiều.,5,Positive
Tuyên Nguyễn,"Lần đầu tiên đặt qua grab ở cửa hàng này, thất vọng tràn trề. Giao thiếu hẳn 2 hambuger và 2 nước ngọt. Liên hệ lại quán bảo đợi 1 chút mà đợi đúng 1 tiếng rưỡi, đợi hết cả giờ ăn trưa. Lúc gọi khiếu nại thì không gọi được luôn. Đúng lúc đó có 1 anh grab khác mang đồ thiếu tới gọi cho mình thì giao nhầm địa chỉ. Nhà 4A thì nhân viên bên cửa hàng đặt grab là nhà 44, mình nhận đồ ăn còn combo nghe cả anh grab càu nhàu đến cửa hàng phải đợi 20p rồi lại còn đặt sai địa chỉ. Mà trên phố đi đường 1 chiều chứ, quay lại đâu phải dễ. Mình thì nhận đồ ăn cũng ko còn thời gian ăn, chỉ muốn ném  vào mặt nhân viên bên đó cho nó bớt ngáo. Ức chế không tả nổi.",1,Negative
khánh ly,Ngonvaf chuyên nghiệp,5,Positive
ngocha babe,Good,4,Positive
Khalil Gaser Reda Khalil (Hassan),"Perfect place for breakfast, I like Mac anyway",4,Positive
S2 Mio,Nhân viên tồi,1,Negative
A Rubel,"Good service, friendly staff. You know they have to put up with a lot of demanding people.  They also dont cover your food in sauce.",5,Positive
Hiếu Đỗ,ổn,4,Positive
Ngoc Cuong Tran,Điều hòa hơi nóng,2,Negative
tuyet phuong,Phục vụ chưa nhanh nhạy,5,Positive
Tuấn Trần Hữu,"Địa điểm đẹp, đồ ăn ngon, thái độ tốt, phong cách chuyên nghiệp, điểm trừ là khôg gian hơi bí nên mùi hỗn hợp.",4,Positive
Jako Lee,等很久,3,Neutral
HDO Food,Quá đông...,4,Positive
Hoài Sơn Nguyễn,Ngon,5,Positive
Việt Đỗ,Chu đáo,5,Positive
Thái Nguyễn,"Có món cho buổi sáng, bánh hơi dai với cứng",3,Neutral
Thắng Nguyễn Toàn,Good,5,Positive
nguyen van Manh,"Vị trí đẹp, đồ ăn ok",5,Positive
Hùng Anh Lê,"Bánh bị khô quá, vừa cầm vào đã vỡ bánh. Các bạn nvien lịch sự nhiệt tình",3,Neutral
Hải Lê Thanh,bt,4,Positive
Hoa Nguyen,Chỗ này là tiệm đầu tiên đc mở ở hà nội bạn nào nghiện ăn đồ ăn nhanh thì tới đây nhá,5,Positive
Diego Berro,Excelente atención!!!,5,Positive
Hiếu Hoàng,ăn ngon,5,Positive
Phuong Thu,Việc lựa chọn đồ ăn hơi khó đồ ăn thì tạm tạm nhưng sạch sẽ,3,Neutral
hung vu,"Chi nhánh gần nhà nhất nên mình thường hay ra đây ăn gà rán hoặc vài món khác. Rất thoải mái vì lượng khách cũng lai rai , Lễ thì dĩ nhiên sẽ rất đông đến độ xếp hàng dài ngoằng để order ^^. . Lúc thì mình mua combo 29k , rồi combo 39k , khi thì mình ghé mua phần ăn Happy Meal có kèm đồ chơi cho bé , đồ chơi cũng xịn và bắt trend lắm.. . Gà rán mình rất ưng , vị ngon vừa miệng , bột da giòn tan , thịt gà ngon kèm nhiều loại sốt chấm. BUổi sáng sớm đến trước 11h có bánh muffin kẹp trứng phô mai hoặc thịt khá ổn để ăn sáng. Kem cây ngọt nhẹ. Đặc biệt , đến Mc Donald's nên thử qua món TRÀ XANH ĐÁ XAY best của best nhé ( ngon toẹt vời ) , không hề thất vọng. Món điểm trừ là trà đào nhé ( đừng mua phí tiền vì độ dỡ của nó thôi rồi ).. . Nhân viên khá dễ tính và thân thiện , nhân viên bảo vệ cả 2***đều dễ thương , vui vẻ , rất dễ gần , thích nói chuyện với khách.",4,Positive
TM P,Ok,4,Positive
Nhà đất Huệ Anh,Ngon ngon,5,Positive
tan hoang,Tàm tạm,4,Positive
Hung Vu Tuan,"Fan gà chân chính thì chắc không ai xa lạ với McDonald’s rồi!. Gà rán (36k/miếng) vỏ ngoài giòn rụm trong mềm ấm nóng chấm cùng tương ớt tỏi và sốt mù tạt thì phê thôi rồi. Mà có tận 5 loại sốt nên tha hồ lựa chọn nhaaa.. McNugget’s (35k/4pcs) mềm mềm ăn như bánh, thịt không bở.. Burger bò phô mai (35k) cắn ngập mồm, khoai tây chiên nóng giòn, cọng nhỏ.... Mình có gọi thêm kem sốt dâu (25k) và kem sốt socola (25k). Cảm giác ăn miếng đầu tiên là kem mịn, rất là hịn! Nhưng mà hơi ngọt nên ngấy, đợi chảy bớt ăn đỡ ngấy hơn.. Phần ăn Happy Meal (65k) gồm 1 hộp sữa milo, 1 miếng gà, 1 khoai nhỏ và 1 đồ chơi cho bé. Đầy đủ bổ dưỡng, mà người lớn mình ăn còn no luôn đó .  ️ Hiện McDonald’s đã có 3 cơ sở tại Hà Nội (Hàng Bài, Vicom Trần Duy Hưng, Thái Hà) nên thoải mái lựa chọn. Nói chung cả 3 cơ sở đều rộng rãi, mát mẻ, nhân viên đều phục vụ chuyên nghiệp không phải bàn, các bạn í rất là nice luôn.. ~ 100k-200k/người. McDonald’s Hàng Bài",4,Positive
Trần Minh Tuấn,dạo quanh hồ rồi nhảy vô mua cái burger...chuẩn ko cần chỉnh,5,Positive
Manuel Gómez Puig,"Te atienden bien en inglés y no está mal. Después de estar comiendo varios días comida vietnamita, te apetece cambiar.",4,Positive
ahaanaxcreations,Quite expensive but so yummy,5,Positive
정다균,맛있는 콘파이ㅋ,4,Positive
Hoang Vu Le,Đồ ăn ngon! Vẫn thích McDonald’s,5,Positive
me 2,Great little busy place. Excellent location. I particularly love the area where it's located. Some times I got a late night dinner for my son and used my Grab app to get a motorcycle taxi to take me back to the hotel. I just loved Hanoi! Went everywhere by myself using Grab.,5,Positive
Kiên Trần Trung,"Đã ăn ở cả KFC, Lote và MC. Ở MC cũng ko thấy có gì đặc sắc hơn. Ở đây việc chọn miếng gà khá khó, Được cái vị trí đẹp",4,Positive
Hans-Hermann Brandes,Keine english Kenntnisse,1,Negative
VINVIVU “kevin Kevin”,Good,5,Positive
Tien Dung Dang,"Không gian hạn chế, bãi đỗ xe cũng hạn chế",2,Negative
